,id,player_name,position,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
7651,928,Wes Brown,D S,15.5,1269.0,0.0,0.1339097823947668,0.0,0.12646108120679855,2.0,2.5,3.0,0.5,0.0,0.1339097823947668,1.515850329771638,1.450106956064701
7652,793,Wes Hoolahan,M S,30.0,2026.0,4.0,3.467650261707604,8.0,4.9119167206808925,26.0,49.0,1.0,0.0,3.0,2.7064814241603017,9.969735614955423,5.996438157744706
7653,748,Wes Morgan,D,24.285714285714285,2046.142857142857,1.1428571428571428,1.602128123332347,0.2857142857142857,0.2349893793995891,12.857142857142858,2.857142857142857,1.7142857142857142,0.42857142857142855,1.1428571428571428,1.602128123332347,2.1606145217083395,1.9191571329720318
7654,7724,Wesley,S,8.333333333333334,607.0,1.6666666666666667,2.434480136881272,0.3333333333333333,0.2945386798431476,12.333333333333334,3.6666666666666665,1.0,0.0,1.6666666666666667,2.1807571512957415,2.708723741893967,0.9200392647956809
7655,7589,Wesley Fofana,D S,12.0,990.0,0.25,0.5548954093828797,0.0,0.08415737655013796,4.5,2.25,3.0,0.0,0.25,0.5548954093828797,2.360075202770531,2.29095749091357
7656,1203,Wesley Hoedt,D S,19.333333333333332,1576.0,0.3333333333333333,0.7790152531427643,0.16666666666666666,0.26586561541383463,9.833333333333334,3.8333333333333335,4.166666666666667,0.3333333333333333,0.3333333333333333,0.7790152531427643,3.511102679806451,3.375546569004655
7657,3677,Wesley Lautoa,D M,21.714285714285715,1713.0,0.14285714285714285,0.372285215982369,0.14285714285714285,0.3061291306678738,7.571428571428571,4.285714285714286,4.285714285714286,0.14285714285714285,0.14285714285714285,0.372285215982369,3.4828590086794327,3.248398258882974
7658,8098,Wesley Moustache,D,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1486302465200424,0.1486302465200424
7659,3799,Wesley Said,F M S,20.166666666666668,1103.5,3.8333333333333335,3.4628715937336287,0.6666666666666666,1.4230988125006359,30.333333333333332,11.5,2.1666666666666665,0.0,3.8333333333333335,3.336189073820909,5.324987676149855,1.2952413000166416
7660,6111,Wesley Sneijder,F M S,5.0,401.0,0.0,0.5327786281704903,0.0,0.8404372129589319,16.0,11.0,0.0,0.0,0.0,0.5327786281704903,1.8117253184318545,1.2605889923870564
7661,5360,Weston McKennie,S,20.0,1243.3333333333333,1.8333333333333333,2.123875874405106,1.0,1.7922817915678024,17.666666666666668,14.0,3.6666666666666665,0.0,1.8333333333333333,2.123875874405106,4.991950685934474,2.8614175439191363
7662,5545,Wilfred Ndidi,M S,26.333333333333332,2278.3333333333335,1.1666666666666667,1.5452785949067522,1.5,0.8592078650059799,29.833333333333332,11.833333333333334,4.833333333333333,0.3333333333333333,1.1666666666666667,1.5452785949067522,7.444628746015951,6.187898405905192
7663,5211,Wilfrid Kaptoum,M S,7.5,487.0,0.0,0.11541597545146935,0.0,0.05411965958774084,3.0,1.5,1.5,0.0,0.0,0.11541597545146935,0.9989312095567584,0.829395598731935
7664,622,Wilfried Bony,F S,20.25,1052.0,4.75,5.283859070856124,1.5,1.8788914470933378,47.25,12.5,1.75,0.25,4.5,4.903274652082473,6.854049035347998,1.673404911532998
7665,6251,Wilfried Kanga,F S,8.25,205.25,0.5,0.676393012050539,0.0,0.1062133549712598,6.25,2.25,0.75,0.0,0.5,0.676393012050539,0.7860549474135041,0.076979115139693
7666,3402,Wilfried Moimbé,M S,11.5,745.0,0.0,0.193993215681985,0.5,0.4946466404944658,4.0,5.0,2.0,0.0,0.0,0.193993215681985,1.5549026906955987,0.9963746827561407
7667,7472,Wilfried Stephane Singo,D S,16.0,1057.6666666666667,1.0,0.7145514773825804,1.3333333333333333,1.6519149659822385,10.0,13.0,1.0,0.6666666666666666,1.0,0.7145514773825804,4.470673644604783,3.0470770094543695
7668,522,Wilfried Zaha,F M S,30.75,2535.375,6.375,5.821920207585208,3.25,3.9840783398831263,50.625,36.0,5.125,0.125,5.875,5.441335784853436,11.685952459927648,3.71158928796649
